case_id,worker_index,nfp,n_base_coils,status,score,iota_min,iota_max,score_wall_s
340,4,8,3,ok,3.8010583580644854,1.7393050704687192,1.9008376598358154,4.082421789877117
341,5,8,3,no_axis,0.114659787575704,nan,nan,3.672667718026787
342,0,8,3,no_surface,0.23799537260587839,nan,nan,4.0566121712327
343,1,8,3,ok,10.214452633001102,1.9280291311442852,1.9538792887633936,4.141237501055002
344,2,8,3,no_surface,0.26014769101760027,nan,nan,3.9797531329095364
345,3,8,3,no_surface,0.24909590958419503,nan,nan,3.997360410168767
346,4,8,3,no_surface,0.2603111524301104,nan,nan,4.0026562488637865
347,5,8,3,ok,7.377307398385955,2.3402356384881946,2.3775681595493934,4.167705069296062
348,0,8,3,no_surface,0.24253137249563245,nan,nan,4.053182784467936
349,1,8,3,ok,61.420486490543134,1.0612135129054832,1.1082520660196122,4.148559045046568
350,2,8,3,ok,5.673435943519583,1.9224187875726,1.9259962290461392,4.0570883341133595
351,3,8,3,no_surface,0.2657635490447654,nan,nan,4.001447344198823
352,4,8,3,no_axis,0.12165389666013658,nan,nan,3.6282549826428294
353,5,8,3,no_surface,0.26140970129245505,nan,nan,4.0366678149439394
354,0,8,3,ok,4.066827431328652,2.654789927821549,2.9347087144851685,4.132308315485716
355,1,8,3,no_surface,0.26907459677068785,nan,nan,4.000354450196028
